project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
hibernate-search,substitute_literals_multiValued,of,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyValidSimpleValuesTest.java#L327,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/backend/elasticsearch/src/main/java/org/hibernate/search/backend/elasticsearch/ElasticsearchDistributionName.java#L44,"org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(java.util.function.Function<org.hibernate.search.engine.cfg.spi.KeyContext, org.hibernate.search.engine.cfg.spi.OptionalPropertyContext<T>>, java.lang.String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)",org.hibernate.search.backend.elasticsearch.ElasticsearchDistributionName.of(java.lang.String),org.hibernate.search.backend.elasticsearch.ElasticsearchDistributionName.of(String),org.hibernate.search.backend.elasticsearch.ElasticsearchDistributionName.of(String),#test-code #test-case-method,#main-code,1,0,0,,
hibernate-search,substitute_literals_multiValued,get,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyValidSimpleValuesTest.java#L327,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/backend/elasticsearch/src/main/java/org/hibernate/search/backend/elasticsearch/ElasticsearchExtension.java#L95,"org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(java.util.function.Function<org.hibernate.search.engine.cfg.spi.KeyContext, org.hibernate.search.engine.cfg.spi.OptionalPropertyContext<T>>, java.lang.String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)",org.hibernate.search.backend.elasticsearch.ElasticsearchExtension.get(),org.hibernate.search.backend.elasticsearch.ElasticsearchExtension.get(),org.hibernate.search.backend.elasticsearch.ElasticsearchExtension.get(),#test-code #test-case-method,#main-code,1,0,0,,
hibernate-search,substitute_literals_multiValued,apply,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyValidSimpleValuesTest.java#L327,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/backend/elasticsearch/src/main/java/org/hibernate/search/backend/elasticsearch/client/impl/ClientJdkElasticsearchClient.java#L252,"org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(java.util.function.Function<org.hibernate.search.engine.cfg.spi.KeyContext, org.hibernate.search.engine.cfg.spi.OptionalPropertyContext<T>>, java.lang.String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)",org.hibernate.search.backend.elasticsearch.client.impl.ClientJdkElasticsearchClient.GsonJsonMapper.apply(java.io.InputStream),org.hibernate.search.backend.elasticsearch.client.impl.ClientJdkElasticsearchClient.GsonJsonMapper.apply(InputStream),org.hibernate.search.backend.elasticsearch.client.impl.ClientJdkElasticsearchClient.GsonJsonMapper.apply(InputStream),#test-code #test-case-method,#main-code,1,0,0,,
hibernate-search,substitute_literals_multiValued,clear,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyValidSimpleValuesTest.java#L327,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/backend/lucene/src/main/java/org/hibernate/search/backend/lucene/lowlevel/reader/impl/IndexReaderProvider.java#L19,"org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(java.util.function.Function<org.hibernate.search.engine.cfg.spi.KeyContext, org.hibernate.search.engine.cfg.spi.OptionalPropertyContext<T>>, java.lang.String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)",org.hibernate.search.backend.lucene.lowlevel.reader.impl.IndexReaderProvider.clear(),org.hibernate.search.backend.lucene.lowlevel.reader.impl.IndexReaderProvider.clear(),org.hibernate.search.backend.lucene.lowlevel.reader.impl.IndexReaderProvider.clear(),#test-code #test-case-method,#main-code,4,0,0,,
hibernate-search,substitute_literals_multiValued,get,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyValidSimpleValuesTest.java#L327,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/main/java/org/hibernate/search/engine/cfg/ConfigurationPropertySource.java#L28,"org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(java.util.function.Function<org.hibernate.search.engine.cfg.spi.KeyContext, org.hibernate.search.engine.cfg.spi.OptionalPropertyContext<T>>, java.lang.String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)",org.hibernate.search.engine.cfg.ConfigurationPropertySource.get(java.lang.String),org.hibernate.search.engine.cfg.ConfigurationPropertySource.get(String),org.hibernate.search.engine.cfg.ConfigurationPropertySource.get(String),#test-code #test-case-method,#main-code,1,1,0,,
hibernate-search,substitute_literals_multiValued,get,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyValidSimpleValuesTest.java#L327,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/main/java/org/hibernate/search/engine/cfg/spi/ConfigurationProperty.java#L21,"org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(java.util.function.Function<org.hibernate.search.engine.cfg.spi.KeyContext, org.hibernate.search.engine.cfg.spi.OptionalPropertyContext<T>>, java.lang.String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)",org.hibernate.search.engine.cfg.spi.ConfigurationProperty.get(org.hibernate.search.engine.cfg.ConfigurationPropertySource),org.hibernate.search.engine.cfg.spi.ConfigurationProperty.get(ConfigurationPropertySource),org.hibernate.search.engine.cfg.spi.ConfigurationProperty.get(ConfigurationPropertySource),#test-code #test-case-method,#main-code,1,1,0,,
hibernate-search,substitute_literals_multiValued,forKey,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyValidSimpleValuesTest.java#L327,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/main/java/org/hibernate/search/engine/cfg/spi/ConfigurationProperty.java#L68,"org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(java.util.function.Function<org.hibernate.search.engine.cfg.spi.KeyContext, org.hibernate.search.engine.cfg.spi.OptionalPropertyContext<T>>, java.lang.String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)",org.hibernate.search.engine.cfg.spi.ConfigurationProperty.forKey(java.lang.String),org.hibernate.search.engine.cfg.spi.ConfigurationProperty.forKey(String),org.hibernate.search.engine.cfg.spi.ConfigurationProperty.forKey(String),#test-code #test-case-method,#main-code,1,1,0,,
hibernate-search,substitute_literals_multiValued,substitute,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyValidSimpleValuesTest.java#L327,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/main/java/org/hibernate/search/engine/cfg/spi/OptionalPropertyContext.java#L16,"org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(java.util.function.Function<org.hibernate.search.engine.cfg.spi.KeyContext, org.hibernate.search.engine.cfg.spi.OptionalPropertyContext<T>>, java.lang.String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)","org.hibernate.search.engine.cfg.spi.OptionalPropertyContext.substitute(java.lang.Object, java.lang.Object)","org.hibernate.search.engine.cfg.spi.OptionalPropertyContext.substitute(Object, Object)","org.hibernate.search.engine.cfg.spi.OptionalPropertyContext.substitute(Object, Object)",#test-code #test-case-method,#main-code,1,1,1,,
hibernate-search,substitute_literals_multiValued,multivalued,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyValidSimpleValuesTest.java#L327,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/main/java/org/hibernate/search/engine/cfg/spi/OptionalPropertyContext.java#L18,"org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(java.util.function.Function<org.hibernate.search.engine.cfg.spi.KeyContext, org.hibernate.search.engine.cfg.spi.OptionalPropertyContext<T>>, java.lang.String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)",org.hibernate.search.engine.cfg.spi.OptionalPropertyContext.multivalued(),org.hibernate.search.engine.cfg.spi.OptionalPropertyContext.multivalued(),org.hibernate.search.engine.cfg.spi.OptionalPropertyContext.multivalued(),#test-code #test-case-method,#main-code,1,1,0,,
hibernate-search,substitute_literals_multiValued,build,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/test/java/org/hibernate/search/engine/cfg/spi/ConfigurationPropertyValidSimpleValuesTest.java#L327,https://github.com/hibernate/hibernate-search/blob/b83992727a0e950119b2be98380246de7bf8160d/engine/src/main/java/org/hibernate/search/engine/cfg/spi/OptionalPropertyContext.java#L26,"org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(java.util.function.Function<org.hibernate.search.engine.cfg.spi.KeyContext, org.hibernate.search.engine.cfg.spi.OptionalPropertyContext<T>>, java.lang.String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)","org.hibernate.search.engine.cfg.spi.ConfigurationPropertyValidSimpleValuesTest.substitute_literals_multiValued(Function, String, T)",org.hibernate.search.engine.cfg.spi.OptionalPropertyContext.build(),org.hibernate.search.engine.cfg.spi.OptionalPropertyContext.build(),org.hibernate.search.engine.cfg.spi.OptionalPropertyContext.build(),#test-code #test-case-method,#main-code,1,1,0,,
