project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
hadoop,testClassCastException,getCause,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/crypto/key/kms/TestLoadBalancingKMSClientProvider.java#L257,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-cloud-storage-project/hadoop-huaweicloud/src/main/java/org/apache/hadoop/fs/obs/OBSIOException.java#L45,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.fs.obs.OBSIOException.getCause(),org.apache.hadoop.fs.obs.OBSIOException.getCause(),org.apache.hadoop.fs.obs.OBSIOException.getCause(),#test-code #test-case-method,#main-code,1,0,0,,
hadoop,testClassCastException,getName,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/crypto/key/kms/TestLoadBalancingKMSClientProvider.java#L257,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/ExcludePrivateAnnotationsStandardDoclet.java#L114,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.classification.tools.ExcludePrivateAnnotationsStandardDoclet.getName(),org.apache.hadoop.classification.tools.ExcludePrivateAnnotationsStandardDoclet.getName(),org.apache.hadoop.classification.tools.ExcludePrivateAnnotationsStandardDoclet.getName(),#test-code #test-case-method,#main-code,1,0,0,,
hadoop,testClassCastException,Configuration,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/crypto/key/kms/TestLoadBalancingKMSClientProvider.java#L257,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Configuration.java#L810,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.conf.Configuration.Configuration(),org.apache.hadoop.conf.Configuration.Configuration(),org.apache.hadoop.conf.Configuration.Configuration(),#test-code #test-case-method,#main-code,1,1,0,,
hadoop,testClassCastException,options,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/crypto/key/kms/TestLoadBalancingKMSClientProvider.java#L257,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/KeyProvider.java#L428,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.KeyProvider.options(org.apache.hadoop.conf.Configuration),org.apache.hadoop.crypto.key.KeyProvider.options(Configuration),org.apache.hadoop.crypto.key.KeyProvider.options(Configuration),#test-code #test-case-method,#main-code,1,1,0,,
hadoop,testClassCastException,generateEncryptedKey,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/crypto/key/kms/TestLoadBalancingKMSClientProvider.java#L257,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/LoadBalancingKMSClientProvider.java#L328,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.generateEncryptedKey(java.lang.String),org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.generateEncryptedKey(String),org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.generateEncryptedKey(String),#test-code #test-case-method,#main-code,1,1,1,,
hadoop,testClassCastException,decryptEncryptedKey,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/crypto/key/kms/TestLoadBalancingKMSClientProvider.java#L257,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/LoadBalancingKMSClientProvider.java#L348,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.decryptEncryptedKey(org.apache.hadoop.crypto.key.KeyProviderCryptoExtension.EncryptedKeyVersion),org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.decryptEncryptedKey(EncryptedKeyVersion),org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.decryptEncryptedKey(EncryptedKeyVersion),#test-code #test-case-method,#main-code,1,1,1,,
hadoop,testClassCastException,createKey,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/crypto/key/kms/TestLoadBalancingKMSClientProvider.java#L257,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/LoadBalancingKMSClientProvider.java#L479,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),"org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.createKey(java.lang.String, org.apache.hadoop.crypto.key.KeyProvider.Options)","org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.createKey(String, Options)","org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.createKey(String, Options)",#test-code #test-case-method,#main-code,1,1,1,,
hadoop,testClassCastException,rollNewVersion,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/crypto/key/kms/TestLoadBalancingKMSClientProvider.java#L257,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/LoadBalancingKMSClientProvider.java#L523,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.rollNewVersion(java.lang.String),org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.rollNewVersion(String),org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.rollNewVersion(String),#test-code #test-case-method,#main-code,1,1,1,,
hadoop,testClassCastException,LoadBalancingKMSClientProvider,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/crypto/key/kms/TestLoadBalancingKMSClientProvider.java#L257,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/LoadBalancingKMSClientProvider.java#L95,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),"org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.LoadBalancingKMSClientProvider(org.apache.hadoop.crypto.key.kms.KMSClientProvider[], long, org.apache.hadoop.conf.Configuration)","org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.LoadBalancingKMSClientProvider(KMSClientProvider[], long, Configuration)","org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider.LoadBalancingKMSClientProvider(KMSClientProvider[], long, Configuration)",#test-code #test-case-method,#main-code,1,1,0,,
hadoop,testClassCastException,contains,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/crypto/key/kms/TestLoadBalancingKMSClientProvider.java#L257,https://github.com/apache/hadoop/blob/c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/net/NetworkTopology.java#L248,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider.testClassCastException(),org.apache.hadoop.net.NetworkTopology.contains(org.apache.hadoop.net.Node),org.apache.hadoop.net.NetworkTopology.contains(Node),org.apache.hadoop.net.NetworkTopology.contains(Node),#test-code #test-case-method,#main-code,1,0,0,,
